2019-09-22 18:07:51.078 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'shiroFilter' to: [/*]
2019-09-22 18:07:51.078 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2019-09-22 18:07:51.167 [restartedMain] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-09-22 18:07:51.194 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2eb81140: startup date [Sun Sep 22 18:07:50 CST 2019]; root of context hierarchy
2019-09-22 18:07:51.201 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/IRobotQrCodePayTask/export]}" onto public org.springframework.web.servlet.ModelAndView web.template.controller.IRobotQrCodePayTaskController.export(web.template.params.db1.codeGenerator.IRobotQrCodePayTaskParams,java.lang.String,int,int)
2019-09-22 18:07:51.201 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/IRobotQrCodePayTask/page]}" onto public com.txj.common.entity.Result web.template.controller.IRobotQrCodePayTaskController.page(web.template.params.db1.codeGenerator.IRobotQrCodePayTaskParams,int,int)
2019-09-22 18:07:51.201 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/HeartbeatEntity/page]}" onto public com.txj.common.entity.Result web.template.controller.common.HeartbeatEntityController.page(web.template.params.HeartbeatEntityParams,int,int)
2019-09-22 18:07:51.202 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/uploadSingleImage]}" onto public com.txj.common.entity.Result web.template.controller.common.IndexController.uploadSingleImage(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpServletRequest)
2019-09-22 18:07:51.202 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/anonymousRealTime]}" onto public final com.txj.common.entity.Result web.template.controller.common.IndexController.anonymousRealTime(java.lang.String,java.lang.String,java.lang.String)
2019-09-22 18:07:51.202 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/loadLeftMenus]}" onto public com.txj.common.entity.Result web.template.controller.common.IndexController.loadLeftMenus()
2019-09-22 18:07:51.202 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/realTime]}" onto public final com.txj.common.entity.Result web.template.controller.common.IndexController.realTime(java.lang.String,java.lang.String)
